question,answer
What is the return policy of the products?,You can return products within 30 days of delivery.
Do I get discount with the HDFC credit card?,"Yes, HDFC credit card users get a 10% discount on select items."
How can I track my order?,You can track your order using the tracking link sent to your email.
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and cash on delivery."
How long does it take to process a refund?,Refunds are processed within 5-7 business days after the return is received.
Are there any ongoing sales or promotions?,"Yes, check our 'Deals' section for ongoing sales and discounts."
Can I cancel or modify my order after placing it?,You can cancel or modify your order within 1 hour of placing it.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
What should I do if I receive a damaged product?,Contact our support team within 48 hours for a replacement or refund.
How do I use a promo code during checkout?,Enter your promo code in the designated field during checkout.
What should I do if my order is approved but hasn't been shipped yet?,Sellers usually ship orders 1-2 business days before the delivery date so that they reach you on time. In case your order hasn't been shipped within this time please contact our Customer Support so that we can look into it.
Can I take the shipment after opening and checking the contents inside?,"As per company policy, a shipment can't be opened before delivery, but you can accept the shipment and get in touch with us later in case you have any concerns."
How quickly can I get my order delivered?,Orders will be delivered by the date you see on the product page for your location.
What are the standard shipping speeds and delivery charges?,"Standard Delivery charges and shipping timelines vary based on several factors like the seller, type of the product, price of the product, order value and delivery pin code. Delivery timeline is displayed on the product page. You can choose a delivery pin code on the product page and it will display the list of sellers who cater to that location and the applicable shipping charges."
"Why am I unable to order products like television, air-conditioner, refrigerator, washing machine, furniture, microwave, treadmill, etc. at my location?","The delivery of large category products at a particular location depends on the following factors:

Dimensions and weight
Location of the seller
Serviceability of the seller's partnered service provider

Always ensure to update your preferred delivery location/address to verify if the seller is offering the product or deal at your location."
When will I get my order once its status changes to 'Out for Delivery'?,"Once an order is out for delivery, please wait till 11 PM for the delivery executive to deliver your order. For products that have a faster delivery option to your location, the time by which it can be delivered will be mentioned on the product page"
Is Open Box delivery available for all the products?,"No, the Open Box Delivery option is available on select products and locations only."
When do I need to share the OTP with the delivery executive?,You should share the OTP with the delivery executive only after verifying the product thoroughly. This will confirm that you have inspected the item before it is marked as delivered.
How will I get to know if the chosen item is eligible for Open Box delivery?,You will get to know if a product has an Open Box delivery option on the 'Checkout' page at the time of placing your order.
Is Open Box delivery available for orders placed via Cash on Delivery option?,"Yes, the Open Box delivery option is not dependent on the payment mode chosen while placing an order."
What are the modes of refund available after cancellation?,"The different modes of refund available are:

Payment mode: Cash on Delivery

1. UPI (Amount less than Rs 1000) - Refund will be processed to the UPI account for which UPI ID has to be shared
2. Gift Card (Amount less than Rs 10000) - Refund will be processed to Gift Card account
3. Bank account (IMPS/NEFT) - Refund will be processed to bank account for which bank details have to be shared

Payment mode: Prepaid

1. Back to source - Refund will be processed to the payment mode(Debit/Credit card, NEFT, UPI) used to pay for the order
2. Gift Card (Amount less than Rs 10000) - Refund will be processed to Gift Card account."
